Player,Team,Pos,Comb,Total,Ast,Sck
Thomas Davis,CAR,OLB,44,32,12,2
Timmy Jernigan,PHI,DT,17,11,6,1.5
Tom Johnson,MIN,DT,14,10,4,2
Tony Jefferson,BAL,SS,42,28,14,2
Trey Flowers,NE,DE,37,27,10,3.5
Trey Hendrickson,NO,DE,9,4,5,2
Tyrone Crawford,DAL,DE,14,9,5,4
Tyson Alualu,PIT,DE,23,14,9,2
Tyus Bowser,BAL,LB,8,7,1,2
Ufomba Kamalu,HOU,LB,4,3,1,2
Vic Beasley,ATL,OLB,16,12,4,4
Vince Williams,PIT,ILB,42,33,9,4
Vinny Curry,PHI,DE,26,18,8,3
Von Miller,DEN,OLB,31,31,0,8
Vonn Bell,NO,FS,32,22,10,1.5
Wes Horton,CAR,DE,6,5,1,2
Wesley Woodyard,TEN,ILB,71,50,21,2
Willie Young,CHI,OLB,7,4,3,2
Yannick Ngakoue,JAX,DE,17,13,4,6.5
Zach Brown,WAS,ILB,86,57,29,2.5
